title,author,price,image
Mewarnai Pesawat Untuk Anak-Anak, Kak Bambang  ,Rp 24.300,/assets/default-images/product.png
Stop Billying: Jati Si Anak Pemberani, Rahayu  ,Rp 30.600,/assets/default-images/product.png
Juliet of The Boarding School 14, Yousuke Kaneda ,Rp 25.600,/assets/default-images/product.png
Mengapa Kita Berhaji?, Unik Hanifah Salsabila ,Rp 49.500,/assets/default-images/product.png
Mengapa Kita Harus Puasa?, Unik Hanifah Salsabila ,Rp 49.500,/assets/default-images/product.png
Memoir of Vanitas 09, Jun Mochizuki ,Rp 25.600,/assets/default-images/product.png
Juliet Of The Boarding School 13, Yousuke Kaneda ,Rp 25.600,/assets/default-images/product.png
Juliet of The Boarding School 12, Yousuke Kaneda ,Rp 22.400,/assets/default-images/product.png
Mengapa Aku Sulit Merasa Bahagia, Olivia Juni ,Rp 40.500,/assets/default-images/product.png
Akasha : Cells At Work Black 07, Akane Shimizu ,Rp 36.000,/assets/default-images/product.png
"Akasha : Who Is To Blame : The Bully, Or The Bullied 06 - Tamat", CHIKARA KIMIZUKA/YEN HIOKA ,Rp 36.000,/assets/default-images/product.png
Saat Besar Nanti: Cita-Citaku Mau Jadi Polisi, Stella Ernes ,Rp 39.000,/assets/default-images/product.png
